"cname","year","ccode","ccodealp","id","source_link","cab"
"Argentina", "2015", "32", "ARG", "1", "...", "..."
"Australia", "2015", "36", "AUS", "2", "https://www.cpds-data.org/", "2"
"Australia", "2016", "36", "AUS", "2", "https://www.cpds-data.org/", "2"
"Australia", "2017", "36", "AUS", "2", "https://www.cpds-data.org/", "2"
"Australia", "2018", "36", "AUS", "2", "https://www.cpds-data.org/", "2"
"Australia", "2019", "36", "AUS", "2", "https://www.cpds-data.org/", "3"
"Australia", "2020", "36", "AUS", "2", "https://www.cpds-data.org/", "3"
"Austria", "2015", "40", "AUT", "3", "https://www.cpds-data.org/", "2"
"Austria", "2016", "40", "AUT", "3", "https://www.cpds-data.org/", "2"
"Austria", "2017", "40", "AUT", "3", "https://www.cpds-data.org/", "2"
"Austria", "2018", "40", "AUT", "3", "https://www.cpds-data.org/", "2"
"Austria", "2019", "40", "AUT", "3", "https://www.cpds-data.org/", "NA"
"Austria", "2020", "40", "AUT", "3", "https://www.cpds-data.org/", "2"
"Bahamas", "2015", "40", "BHS", "4", "...", "..."
"Barbados", "2015", "52", "BRB", "5", "...", "..."
"Belgium", "2015", "56", "BEL", "6", "https://www.cpds-data.org/", "2"
"Belgium", "2016", "56", "BEL", "6", "https://www.cpds-data.org/", "4"
"Belgium", "2017", "56", "BEL", "6", "https://www.cpds-data.org/", "4"
"Belgium", "2018", "56", "BEL", "6", "https://www.cpds-data.org/", "NA"
"Belgium", "2019", "56", "BEL", "6", "https://www.cpds-data.org/", "NA"
"Belgium", "2020", "56", "BEL", "6", "https://www.cpds-data.org/", "3"
"Benin", "2015", "204", "BEN", "7", "...", "..."
"Botswana", "2015", "72", "BWA", "8", "...", "..."
"Bulgaria", "2015", "100", "BGR", "9", "https://www.cpds-data.org/", "3"
"Bulgaria", "2016", "100", "BGR", "9", "https://www.cpds-data.org/", "3"
"Bulgaria", "2017", "100", "BGR", "9", "https://www.cpds-data.org/", "2"
"Bulgaria", "2018", "100", "BGR", "9", "https://www.cpds-data.org/", "2"
"Bulgaria", "2019", "100", "BGR", "9", "https://www.cpds-data.org/", "2"
"Bulgaria", "2020", "100", "BGR", "9", "https://www.cpds-data.org/", "2"
"Canada", "2015", "124", "CAN", "10", "https://www.cpds-data.org/", "1"
"Canada", "2016", "124", "CAN", "10", "https://www.cpds-data.org/", "1"
"Canada", "2017", "124", "CAN", "10", "https://www.cpds-data.org/", "1"
"Canada", "2018", "124", "CAN", "10", "https://www.cpds-data.org/", "1"
"Canada", "2019", "124", "CAN", "10", "https://www.cpds-data.org/", "1"
"Canada", "2020", "124", "CAN", "10", "https://www.cpds-data.org/", "3"
"Cap Verde", "2015", "132", "CPV", "11", "...", "..."
"Chile", "2015", "152", "CHL", "12", "...", "..."
"Costa Rica", "2015", "188", "CRI", "13", "...", "..."
"Croatia", "2015", "191", "HRV", "14", "https://www.cpds-data.org/", "2"
"Croatia", "2016", "191", "HRV", "14", "https://www.cpds-data.org/", "3"
"Croatia", "2017", "191", "HRV", "14", "https://www.cpds-data.org/", "3"
"Croatia", "2018", "191", "HRV", "14", "https://www.cpds-data.org/", "3"
"Croatia", "2019", "191", "HRV", "14", "https://www.cpds-data.org/", "3"
"Croatia", "2020", "191", "HRV", "14", "https://www.cpds-data.org/", "3"
"Czech Republic", "2015", "203", "CZE", "15", "https://www.cpds-data.org/", "2"
"Czech Republic", "2016", "203", "CZE", "15", "https://www.cpds-data.org/", "2"
"Czech Republic", "2017", "203", "CZE", "15", "https://www.cpds-data.org/", "3"
"Czech Republic", "2018", "203", "CZE", "15", "https://www.cpds-data.org/", "3"
"Czech Republic", "2019", "203", "CZE", "15", "https://www.cpds-data.org/", "3"
"Czech Republic", "2020", "203", "CZE", "15", "https://www.cpds-data.org/", "3"
"Denmark", "2015", "208", "DNK", "16", "https://www.cpds-data.org/", "3"
"Denmark", "2016", "208", "DNK", "16", "https://www.cpds-data.org/", "3"
"Denmark", "2017", "208", "DNK", "16", "https://www.cpds-data.org/", "3"
"Denmark", "2018", "208", "DNK", "16", "https://www.cpds-data.org/", "3"
"Denmark", "2019", "208", "DNK", "16", "https://www.cpds-data.org/", "3"
"Denmark", "2020", "208", "DNK", "16", "https://www.cpds-data.org/", "3"
